,BOOK NAME,AUTHOR,PAGES
376,Intimate Apparel/Fabulation,Lynn Nottage,207
377,"Audition Arsenal for Women in their 20's: 101 Monologues by Type, 2 Minutes & Under",Janet B. Milstein,222
378,Harmonious Color Schemes; no-nonsense approach using the Color Wheel,Elaine Farmer,178
379,Our Town: A Play in Three Acts,Thornton Wilder,267
380,My Cross to Bear,Gregg Allman,500
381,Behind Bars: The Definitive Guide To Music Notation,Elaine Gould,508
382,National Youth Theatre Monologues: 75 Speeches for Auditions,CSPprofessional,456
383,Black Privilege: Opportunity Comes to Those Who Create It,Charlamagne Tha God,341
384,Mosquitoes (NHB Modern Plays),Lucy Kirkwood,182
385,I Must Say: My Life As a Humble Comedy Legend,Martin Short,365
386,Melody in Songwriting: Tools and Techniques for Writing Hit Songs,Jack Perricone,360
387,"The Late Shift: Letterman, Leno, & the Network Battle for the Night",Bill Carter,468
388,Working Drawings Handbook,Keith Styles,120
389,Indecent (TCG Edition),Paula Vogel,90
390,IT'S ALL IN YOUR HEAD,Russ,110
391,"Sandwiches Without Bread: 100 Low-Carb, Gluten-Free Options!",Daria Polukarova,224
392,Hearing and Writing Music: Professional Training for Today's Musician,Ron Gorow,593
393,Fairview,Jackie Sibblies Drury,121
394,The Sum of Our Days: A Memoir,Isabel Allende,404
395,Ascension Codes,Nadja,110
396,The Autobiography of Gucci Mane,Gucci Mane,342
397,Pop Ballad Piano for Beginners,Mark Harrison,31
398,Graphic Idea Notebook: A Treasury of Solutions to Visual Problems,Jan V. White,362
399,Bad Girls Throughout History: 100 Remarkable Women Who Changed the World,Ann Shen,329
400,Le Petit Prince,Antoine de Saint-Exupéry,106
401,Songwriting: Essential Guide to Lyric Form and Structure: Tools and Techniques for Writing Better Lyrics,Pat Pattison,195
402,Bull,Mike Bartlett,67
403,My Girls: A Lifetime with Carrie and Debbie,Todd Fisher,548
404,Meet Me in the Bathroom: Rebirth and Rock and Roll in New York City 2001-2011,Lizzy Goodman,801
405,Become An Exceptional Designer: Effective Colour Selection For You And Your Client,Michael Dean,102
406,Then Sings My Soul: 52 Hymns that Inspire Joyous Prayer,Robert J. Morgan,235
407,Monosauce: 30 award-winning monologues,Pete Malicki,220
408,The Best Beginner Drum Book,Brandon Toews,293
409,The Last Five Years (The Applause Libretto Library): The Complete Book and Lyrics of the Musical,Jason Robert Brown,77
410,Kind Is the New Classy: The Power of Living Graciously,Candace Cameron Bure,213
411,Water by the Spoonful (Revised TCG Edition),Quiara Alegría Hudes,103
412,Unlikely Friendships: 47 Remarkable Stories from the Animal Kingdom,Jennifer S.  Holland,224
413,In the Next Room (or the vibrator play),Sarah Ruhl,186
414,How To Draw Faces,HowExpert,123
415,"Modalogy: Scales, Modes & Chords: The Primordial Building Blocks of Music",Jeff Brent,341
416,Book Row: An Anecdotal and Pictorial History of the Antiquarian Book Trade,Marvin Mondlin,656
417,Mary Jane (TCG Edition),Amy Herzog,90
418,220 Chromatic Exercises + 1165 Jazz Lines Phrases for the Modern Improviser,Olegario Diaz,199
419,Best of Bach: 30 Famous Pieces for Piano,Johann Sebastian Bach,64
420,The History of Architecture: Iconic Buildings throughout the ages,Gaynor Aaltonen,736
421,Sight-Read Any Rhythm Instantly (Music Instruction),Mark Phillips,106
422,Thoughts on Design,Paul Rand,104
423,Drawing For Dummies,Brenda Hoddinott,574
424,The Master Guide to Drawing Anime: How to Draw Original Characters from Simple Templates,Christopher Hart,110
425,"The Kilroys List, Volume Two: 67 Monologues and Scenes by Women and Nonbinary Playwrights",Lynn Nottage,250
426,"Kicking & Dreaming: A Story of Heart, Soul, and Rock and Roll",Ann Wilson,365
427,This is Service Design Thinking: Basics-Tools-Cases,CSPacademic,374
428,By Myself and Then Some,Lauren Bacall,784
429,Gospel Piano For Beginners,Mark Harrison,28
430,Piano - Guided Sight-Reading,Leonhard Deutsch,153
431,Polaris: The Art of Meyoco,Meyoco,179
432,An Intervention (NHB Modern Plays),Mike Bartlett,88
433,Every Little Step: My Story,Bobby Brown,303
434,The Ferryman (NHB Modern Plays),Jez Butterworth,146
435,Dream Golf: The Making of Bandon Dunes,Stephen Goodwin,475
436,The Practical Guide to Drawing Landscapes: [Artist's Workbook],Peter Gray,104
437,Contemporary American Monologues for Women,CSPtrade,205
438,"My Appetite for Destruction: Sex, and Drugs, and Guns N' Roses",Steven Adler,385
439,Mr. Burns and Other Plays,Anne Washburn,380
440,20 Steps to Jazz Keyboard Harmony,Howard Sidney Thomas,109
441,Fail Until You Don't: Fight Grind Repeat,Bobby Bones,422
442,Manga For Dummies,Kensuke Okabayashi,583
443,Songwriting For Dummies,Dave Austin,583
444,Eggs (NHB Modern Plays),Florence Keith-Roach,62
445,Fashion Drawing For Dummies,Lisa Arnold,583
446,Art & Fear: Observations on the Perils (and Rewards) of Artmaking,David Bayles,131
447,"Ifá Divination, Knowledge, Power, and Performance",Adélékè Adéèkó,356
448,Jerusalem (NHB Modern Plays),Jez Butterworth,116
449,Feck Perfuction: Dangerous Ideas on the Business of Life,James Victore,160
450,"The Diatonic Cycle: Essential Exercises for All Jazz, Traditional and Contemporary Musicians",Laura De Cosmo,198
451,Learn Guitar A Beginner's Course,Justin Moss,240
452,Guitar For Dummies,Mark Phillips,632
453,Powerhouse: The Untold Story of Hollywood's Creative Artists Agency,James Andrew Miller,955
454,"Forever and Ever, Amen: A Memoir of Music, Faith, and Braving the Storms of Life",Randy Travis,447
455,10-Minute Watercolours,Hazel Soan,244
456,Spring Awakening,Steven Sater,161
457,Calligraphy For Dummies,Jim Bennett,489
458,"The Best Men's Monologues from New Plays, 2019",RowmanLittlefield,126
459,Gloria (TCG Edition),Branden Jacobs-Jenkins,105
460,18 and Life on Skid Row,Sebastian Bach,518
461,In Performance: Contemporary Monologues for Men and Women Late Teens-20s,JV Mercanti,163
462,Superficial: More Adventures from the Andy Cohen Diaries,Andy Cohen,549
463,Becoming a Great Sight-Reader–or Not! Learn From My Quest for Piano Sight-Reading Nirvana,Al Macy,131
464,Summer at Tiffany,Marjorie Hart,250
